1,-1,1094.277,257.304,63.898,62.347,0.400,-1,-1,-1
1,-1,1374.629,260.678,86.997,52.414,0.409,-1,-1,-1
2,-1,1096.729,259.700,74.897,62.765,0.907,-1,-1,-1
2,-1,1366.510,264.919,118.212,48.759,0.919,-1,-1,-1
2,-1,1313.596,242.665,70.402,37.459,0.442,-1,-1,-1
3,-1,1092.813,259.872,76.238,60.816,0.928,-1,-1,-1
3,-1,1366.124,265.046,119.245,48.771,0.918,-1,-1,-1
3,-1,1313.050,242.731,71.944,37.514,0.460,-1,-1,-1
4,-1,1090.061,258.332,76.106,60.834,0.922,-1,-1,-1
4,-1,1365.580,265.171,120.581,48.750,0.921,-1,-1,-1
4,-1,1312.822,242.781,73.691,37.818,0.481,-1,-1,-1
5,-1,1088.493,257.487,72.474,59.824,0.918,-1,-1,-1
5,-1,1365.127,265.336,121.522,48.429,0.922,-1,-1,-1
5,-1,1313.444,242.879,74.165,38.488,0.488,-1,-1,-1
6,-1,1087.902,255.765,68.454,61.100,0.913,-1,-1,-1
6,-1,1365.229,265.354,121.473,48.263,0.925,-1,-1,-1
6,-1,1314.645,243.110,73.129,39.051,0.485,-1,-1,-1
7,-1,1086.107,255.392,65.894,61.221,0.893,-1,-1,-1
7,-1,1365.478,265.383,120.854,48.136,0.926,-1,-1,-1
7,-1,1314.728,243.092,72.958,39.406,0.485,-1,-1,-1
8,-1,1083.711,255.326,66.183,61.395,0.878,-1,-1,-1
8,-1,1365.063,265.477,121.197,48.240,0.928,-1,-1,-1
8,-1,1313.694,242.933,73.545,38.939,0.480,-1,-1,-1
9,-1,1081.352,255.531,66.353,60.370,0.871,-1,-1,-1
9,-1,1365.423,265.415,120.371,48.251,0.926,-1,-1,-1
9,-1,1312.375,242.539,74.355,38.104,0.472,-1,-1,-1
10,-1,1365.162,265.547,120.373,48.170,0.922,-1,-1,-1
10,-1,1079.864,256.321,66.183,57.735,0.836,-1,-1,-1
10,-1,1311.946,242.251,73.171,37.106,0.450,-1,-1,-1
11,-1,1365.295,265.620,119.774,48.014,0.921,-1,-1,-1
11,-1,1083.406,253.815,60.617,47.301,0.672,-1,-1,-1
11,-1,1312.377,241.929,71.744,36.851,0.439,-1,-1,-1
11,-1,0.000,520.127,44.992,145.659,0.220,-1,-1,-1
12,-1,1364.651,265.672,120.594,48.067,0.923,-1,-1,-1
12,-1,1082.174,252.871,62.251,48.751,0.639,-1,-1,-1
12,-1,1312.659,241.779,71.089,36.802,0.436,-1,-1,-1
12,-1,0.000,521.039,45.662,143.373,0.290,-1,-1,-1
13,-1,1364.731,265.522,120.710,48.085,0.926,-1,-1,-1
13,-1,1081.291,251.461,62.953,51.029,0.535,-1,-1,-1
13,-1,1312.563,241.568,71.681,37.395,0.460,-1,-1,-1
13,-1,0.000,521.767,47.600,141.354,0.334,-1,-1,-1
14,-1,1364.755,265.448,120.979,48.081,0.927,-1,-1,-1
14,-1,1072.511,254.133,61.449,47.232,0.656,-1,-1,-1
14,-1,0.495,524.012,49.528,135.092,0.513,-1,-1,-1
14,-1,1312.644,241.721,72.991,38.162,0.474,-1,-1,-1
15,-1,1365.309,265.443,120.109,47.871,0.930,-1,-1,-1
15,-1,1072.269,253.277,61.184,47.999,0.674,-1,-1,-1
15,-1,0.662,525.934,53.520,131.459,0.651,-1,-1,-1
15,-1,1313.354,241.751,72.711,39.234,0.476,-1,-1,-1
15,-1,877.926,230.528,40.476,20.072,0.201,-1,-1,-1
16,-1,1365.741,265.478,119.474,47.819,0.931,-1,-1,-1
16,-1,1071.850,253.451,60.586,46.192,0.211,-1,-1,-1
16,-1,0.671,527.305,58.527,130.262,0.824,-1,-1,-1
16,-1,1314.446,241.973,71.971,39.808,0.460,-1,-1,-1
16,-1,877.921,230.545,40.461,19.986,0.202,-1,-1,-1
17,-1,1366.005,265.505,119.729,48.109,0.933,-1,-1,-1
17,-1,1070.235,253.651,63.302,44.590,0.205,-1,-1,-1
17,-1,0.085,527.104,64.678,133.594,0.835,-1,-1,-1
17,-1,1314.500,241.736,71.252,39.886,0.467,-1,-1,-1
18,-1,1365.270,265.654,120.962,48.457,0.934,-1,-1,-1
18,-1,1070.243,252.805,63.917,44.708,0.705,-1,-1,-1
18,-1,0.000,526.736,68.392,135.021,0.834,-1,-1,-1
18,-1,1313.321,241.674,72.034,39.344,0.482,-1,-1,-1
19,-1,1364.880,265.805,121.079,48.694,0.937,-1,-1,-1
19,-1,1071.475,251.773,61.632,45.122,0.218,-1,-1,-1
19,-1,0.864,517.946,81.324,149.750,0.881,-1,-1,-1
19,-1,1312.556,241.434,71.393,38.470,0.499,-1,-1,-1
20,-1,1364.596,265.886,120.356,48.576,0.938,-1,-1,-1
20,-1,1072.164,251.125,59.164,45.585,0.255,-1,-1,-1
20,-1,0.915,516.604,81.517,150.854,0.911,-1,-1,-1
20,-1,1312.216,241.306,70.762,37.862,0.497,-1,-1,-1
21,-1,1072.343,252.011,57.698,43.227,0.242,-1,-1,-1
21,-1,1364.921,265.861,119.273,48.493,0.937,-1,-1,-1
21,-1,0.689,516.447,82.340,150.421,0.923,-1,-1,-1
21,-1,1312.710,241.082,69.253,37.567,0.491,-1,-1,-1
22,-1,1072.250,252.274,57.742,41.578,0.217,-1,-1,-1
22,-1,1364.742,265.803,119.770,48.575,0.935,-1,-1,-1
22,-1,0.756,516.193,82.068,149.663,0.913,-1,-1,-1
22,-1,1312.811,241.424,69.976,37.657,0.481,-1,-1,-1
23,-1,1073.033,252.114,56.442,40.099,0.751,-1,-1,-1
23,-1,1364.193,265.832,121.473,48.697,0.935,-1,-1,-1
23,-1,1.098,515.675,81.052,149.605,0.911,-1,-1,-1
23,-1,1313.075,241.640,71.452,38.016,0.475,-1,-1,-1
24,-1,1074.247,250.628,55.062,40.724,0.205,-1,-1,-1
24,-1,1363.980,265.833,122.799,48.717,0.934,-1,-1,-1
24,-1,1.513,515.246,79.823,149.573,0.906,-1,-1,-1
24,-1,1313.088,241.930,73.352,38.626,0.483,-1,-1,-1
25,-1,1074.408,248.158,55.775,43.008,0.246,-1,-1,-1
25,-1,1364.063,265.777,123.178,48.583,0.934,-1,-1,-1
25,-1,1.587,514.976,79.620,149.425,0.907,-1,-1,-1
25,-1,1312.989,241.771,74.689,39.159,0.499,-1,-1,-1
26,-1,1074.492,246.012,56.832,44.421,0.254,-1,-1,-1
26,-1,1364.753,265.620,122.070,48.465,0.933,-1,-1,-1
26,-1,1.572,515.368,79.792,149.208,0.900,-1,-1,-1
26,-1,1312.852,241.675,74.992,39.373,0.500,-1,-1,-1
27,-1,1074.472,245.192,56.544,44.283,0.241,-1,-1,-1
27,-1,1364.735,265.641,121.258,48.219,0.934,-1,-1,-1
27,-1,1.630,515.983,79.808,148.622,0.897,-1,-1,-1
27,-1,1312.124,241.561,75.179,38.814,0.496,-1,-1,-1
28,-1,1075.157,245.940,53.966,42.369,0.207,-1,-1,-1
28,-1,1364.821,265.793,120.406,48.112,0.935,-1,-1,-1
28,-1,1.744,516.765,79.793,148.228,0.890,-1,-1,-1
28,-1,1312.396,241.890,73.691,38.028,0.463,-1,-1,-1
29,-1,1075.996,246.450,51.931,41.697,0.780,-1,-1,-1
29,-1,1364.533,265.967,120.032,48.005,0.939,-1,-1,-1
29,-1,1.759,516.924,79.846,148.292,0.893,-1,-1,-1
29,-1,1312.699,242.081,71.853,37.499,0.445,-1,-1,-1
30,-1,1076.367,246.810,51.803,40.668,0.844,-1,-1,-1
30,-1,1364.624,265.944,119.718,48.131,0.941,-1,-1,-1
30,-1,1.664,516.538,79.958,148.992,0.900,-1,-1,-1
30,-1,1313.501,242.023,70.268,37.624,0.430,-1,-1,-1
31,-1,1076.272,246.729,53.462,39.321,0.839,-1,-1,-1
31,-1,1364.263,265.843,120.393,48.257,0.940,-1,-1,-1
31,-1,1.532,515.966,80.002,149.722,0.909,-1,-1,-1
31,-1,1885.439,560.485,34.108,214.951,0.634,-1,-1,-1
31,-1,1313.186,241.427,71.069,38.314,0.460,-1,-1,-1
32,-1,1364.175,265.779,120.845,48.446,0.937,-1,-1,-1
32,-1,1.483,515.843,80.047,149.731,0.910,-1,-1,-1
32,-1,1076.064,246.846,54.743,37.248,0.771,-1,-1,-1
32,-1,1876.875,559.697,42.693,224.113,0.723,-1,-1,-1
32,-1,1312.820,241.274,72.729,38.742,0.490,-1,-1,-1
33,-1,1364.442,265.696,121.787,48.711,0.930,-1,-1,-1
33,-1,1.556,515.679,80.072,149.569,0.901,-1,-1,-1
33,-1,1075.841,245.915,55.051,37.365,0.202,-1,-1,-1
33,-1,1313.522,241.983,73.231,39.435,0.480,-1,-1,-1
34,-1,1364.960,265.610,122.188,48.933,0.923,-1,-1,-1
